Test config
Factor: 0
A: row-based naive
B: column-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
784	784	784	1	0.402000	0.402000	0.402000	0.402000	0.402000	2773	715957	277377	438580	4350296329	7.429031	281472829270027.406250	
792	792	792	1	0.409000	0.409000	0.409000	0.409000	0.409000	6971	559096	282153	276943	4490795857	7.636368	281472829270027.406250	
800	800	800	1	0.421000	0.421000	0.421000	0.421000	0.421000	3335	517140	247970	269170	4621897556	7.841766	281472829270027.406250	
808	808	808	1	0.434000	0.434000	0.434000	0.434000	0.434000	12436	561011	283969	277042	4764052613	8.096054	281472829270027.406250	
816	816	816	1	0.454000	0.454000	0.454000	0.454000	0.454000	3175	830897	312278	518619	4905461249	8.437592	281472829270027.406250	
824	824	824	1	0.499000	0.499000	0.499000	0.499000	0.499000	3393	2113893	294171	1819722	5050591162	9.194778	281472829270027.406250	
832	832	832	1	0.523000	0.523000	0.523000	0.523000	0.523000	3850	2600921	256313	2344608	5199308951	9.619293	281472829270027.406250	
840	840	840	1	0.563000	0.563000	0.563000	0.563000	0.563000	4252	3714901	308041	3406860	5351616572	10.326126	281472829270027.406250	
848	848	848	1	0.584000	0.584000	0.584000	0.584000	0.584000	3146	8161092	305200	7855892	5503701119	10.714981	281472829270027.406250	
856	856	856	1	0.629000	0.629000	0.629000	0.629000	0.629000	4660	9478881	286471	9192410	5662701649	11.530579	281472829270027.406250	
864	864	864	1	0.680000	0.680000	0.680000	0.680000	0.680000	4089	14139048	247708	13891340	5821794962	12.439316	281472829270027.406250	
872	872	872	1	0.697000	0.697000	0.697000	0.697000	0.697000	3903	11583079	295665	11287414	5984312548	12.707489	281472829270027.406250	
880	880	880	1	0.717000	0.717000	0.717000	0.717000	0.717000	5184	14494304	323523	14170781	6153004575	13.119324	281472829270027.406250	
888	888	888	1	0.691000	0.691000	0.691000	0.691000	0.691000	4822	10534930	325281	10209649	6321237286	12.679230	281472829270027.406250	
896	896	896	1	0.737000	0.737000	0.737000	0.737000	0.737000	4364	7310893	282549	7028344	6491840372	13.379425	281472829270027.406250	
904	904	904	1	0.756000	0.756000	0.756000	0.756000	0.756000	5149	14785717	325094	14460623	6668153357	13.834595	281472829270027.406250	
912	912	912	1	0.826000	0.826000	0.826000	0.826000	0.826000	5309	20589998	319306	20270692	6847125995	15.041183	281472829270027.406250	
920	920	920	1	0.843000	0.843000	0.843000	0.843000	0.843000	4743	20542158	324572	20217586	7028420040	15.349792	281472829270027.406250	
928	928	928	1	0.888000	0.888000	0.888000	0.888000	0.888000	21864	22124514	284269	21840245	7216418860	16.118576	281472829270027.406250	
936	936	936	1	0.823000	0.823000	0.823000	0.823000	0.823000	5542	5788574	402133	5386441	7401771776	14.950348	281472829270027.406250	
944	944	944	1	0.950000	0.950000	0.950000	0.950000	0.950000	5216	21406689	365969	21040720	7592985236	17.198105	281472829270027.406250	
952	952	952	1	0.950000	0.950000	0.950000	0.950000	0.950000	5459	16552903	354090	16198813	7786885059	17.131104	281472829270027.406250	
960	960	960	1	0.958000	0.958000	0.958000	0.958000	0.958000	8312	10167731	360405	9807326	7986901683	17.216553	281472829270027.406250	
968	968	968	1	0.995000	0.995000	0.995000	0.995000	0.995000	5199	22144993	356535	21788458	8185842806	18.044617	281472829270027.406250	
976	976	976	1	1.071000	1.071000	1.071000	1.071000	1.071000	5282	12655080	439570	12215510	8390265670	19.226837	281472829270027.406250	
984	984	984	1	1.130000	1.130000	1.130000	1.130000	1.130000	5583	29617226	329583	29287643	8598127473	20.401779	281472829270027.406250	
992	992	992	1	1.161000	1.161000	1.161000	1.161000	1.161000	5915	15297576	371588	14925988	8809381925	20.718704	281472829270027.406250	
1000	1000	1000	1	1.223000	1.223000	1.223000	1.223000	1.223000	16884	17045651	421309	16624342	9030152927	21.891998	281472829270027.406250	
1008	1008	1008	1	1.256000	1.256000	1.256000	1.256000	1.256000	6311	17139434	463687	16675747	9244326490	22.398651	281472829270027.406250	
1016	1016	1016	1	1.357000	1.357000	1.357000	1.357000	1.357000	7582	21818262	415117	21403145	9464304146	24.158600	281472829270027.406250	
1024	1024	1024	1	1.284000	1.284000	1.284000	1.284000	1.284000	10438	18472297	277012	18195285	9689109933	22.958069	281472829270027.406250	
1032	1032	1032	1	1.559000	1.559000	1.559000	1.559000	1.559000	7765	64100134	226179	63873955	9919882862	27.977478	281472829270027.406250	
1040	1040	1040	1	1.471000	1.471000	1.471000	1.471000	1.471000	8572	22948870	468021	22480849	10150746775	26.165771	281472829270027.406250	
1048	1048	1048	1	1.568000	1.568000	1.568000	1.568000	1.568000	8711	28974102	423329	28550773	10388749513	27.850525	281472829270027.406250	
1056	1056	1056	1	1.753000	1.753000	1.753000	1.753000	1.753000	17892	79153105	179822	78973283	10629588984	31.451401	281472829270027.406250	
1064	1064	1064	1	1.683000	1.683000	1.683000	1.683000	1.683000	9762	33876377	425508	33450869	10869966434	29.860657	281472829270027.406250	
1072	1072	1072	1	1.741000	1.741000	1.741000	1.741000	1.741000	11315	31216237	484399	30731838	11117661920	30.831757	281472829270027.406250	
1080	1080	1080	1	2.065000	2.065000	2.065000	2.065000	2.065000	17572	66605599	352289	66253310	11374484493	36.608566	281472829270027.406250	
1088	1088	1088	1	1.871000	1.871000	1.871000	1.871000	1.871000	9648	39946456	366198	39580258	11623488379	33.243942	281472829270027.406250	
1096	1096	1096	1	2.081000	2.081000	2.081000	2.081000	2.081000	18949	121466195	173853	121292342	11882670718	37.651657	281472829270027.406250	
1104	1104	1104	1	1.992000	1.992000	1.992000	1.992000	1.992000	11030	43437001	469306	42967695	12141892148	35.385834	281472829270027.406250	
1112	1112	1112	1	2.104000	2.104000	2.104000	2.104000	2.104000	11289	47929247	416659	47512588	12408126326	37.289215	281472829270027.406250	
1120	1120	1120	1	2.109000	2.109000	2.109000	2.109000	2.109000	10559	49199773	382533	48817240	12678468655	37.456985	281472829270027.406250	
1128	1128	1128	1	2.189000	2.189000	2.189000	2.189000	2.189000	11331	53213038	425781	52787257	12950547835	38.884445	281472829270027.406250	
1136	1136	1136	1	2.296000	2.296000	2.296000	2.296000	2.296000	20804	55659187	458611	55200576	13230101023	40.740387	281472829270027.406250	
1144	1144	1144	1	2.346000	2.346000	2.346000	2.346000	2.346000	16918	57502211	433217	57068994	13511615661	41.734741	281472829270027.406250	
1152	1152	1152	1	2.425000	2.425000	2.425000	2.425000	2.425000	11782	63375092	358654	63016438	13795707977	43.028290	281472829270027.406250	
1160	1160	1160	1	2.482000	2.482000	2.482000	2.482000	2.482000	13149	64480276	434571	64045705	14084133485	44.115814	281472829270027.406250	
1168	1168	1168	1	2.564000	2.564000	2.564000	2.564000	2.564000	23095	68207180	461857	67745323	14379788392	45.564056	281472829270027.406250	
1176	1176	1176	1	2.634000	2.634000	2.634000	2.634000	2.634000	15803	71114798	432067	70682731	14677574007	46.789215	281472829270027.406250	
1184	1184	1184	1	2.745000	2.745000	2.745000	2.745000	2.745000	17600	75271792	388629	74883163	14980683875	48.733185	281472829270027.406250	
1192	1192	1192	1	2.785000	2.785000	2.785000	2.785000	2.785000	14396	77970513	438605	77531908	15279801271	49.403839	281472829270027.406250	
1200	1200	1200	1	2.870000	2.870000	2.870000	2.870000	2.870000	46595	81720975	469484	81251491	15598424901	50.946014	281472829270027.406250	
1208	1208	1208	1	2.944000	2.944000	2.944000	2.944000	2.944000	15729	85022116	436438	84585678	15905515737	52.270157	281472829270027.406250	
1216	1216	1216	1	2.996000	2.996000	2.996000	2.996000	2.996000	17610	88848829	382001	88466828	16226949885	53.291107	281472829270027.406250
1240	1240	1240	1	3.254000	3.254000	3.254000	3.254000	3.254000	254642	100225287	459117	99766170	17320686227	59.375107	281472831483042.968750	
1272	1272	1272	1	3.559000	3.559000	3.559000	3.559000	3.559000	25843	115599599	435988	115163611	18569696778	63.458344	281472829257354.718750	
1304	1304	1304	1	3.887000	3.887000	3.887000	3.887000	3.887000	35957	132745107	432701	132312406	20010151110	69.464905	281472829257354.718750	
1336	1336	1336	1	4.206000	4.206000	4.206000	4.206000	4.206000	31912	150756279	446193	150310086	21516348896	75.315735	281472829257354.718750	
1368	1368	1368	1	4.540000	4.540000	4.540000	4.540000	4.540000	38932	169687930	446625	169241305	23099115885	81.409698	281472829257354.718750	
1400	1400	1400	1	4.868000	4.868000	4.868000	4.868000	4.868000	36340	190120019	463448	189656571	24757036656	88.142426	281472829257354.718750	
1432	1432	1432	1	5.228000	5.228000	5.228000	5.228000	5.228000	44624	211525001	469663	211055338	26491849332	94.183426	281472829257354.718750	
1464	1464	1464	1	5.592000	5.592000	5.592000	5.592000	5.592000	43916	234162283	479219	233683064	28307259905	100.719894	281472829257354.718750	
1496	1496	1496	1	5.977000	5.977000	5.977000	5.977000	5.977000	65468	258290770	496132	257794638	30212622878	107.864349	281472829257354.718750	
1528	1528	1528	1	6.360000	6.360000	6.360000	6.360000	6.360000	66675	282937652	502018	282435634	32180596857	114.765640	281472829257354.718750	
1560	1560	1560	1	6.789000	6.789000	6.789000	6.789000	6.789000	88726	309162916	510150	308652766	34247346726	122.374649	281472829257354.718750	
1592	1592	1592	1	7.205000	7.205000	7.205000	7.205000	7.205000	151916	336837365	528184	336309181	36401472259	130.339050	281472829257354.718750	
1624	1624	1624	1	7.670000	7.670000	7.670000	7.670000	7.670000	209691	365781985	556845	365225140	38638460919	139.088089	281472829257354.718750	
1656	1656	1656	1	8.136000	8.136000	8.136000	8.136000	8.136000	296030	395770625	561412	395209213	40961224226	147.938004	281472829257354.718750	
1688	1688	1688	1	8.640000	8.640000	8.640000	8.640000	8.640000	433734	427618130	582914	427035216	43385574599	157.466827	281472829257354.718750	
1720	1720	1720	1	9.141000	9.141000	9.141000	9.141000	9.141000	590526	460408177	600667	459807510	45893951659	166.958817	281472829257354.718750	
1752	1752	1752	1	9.674000	9.674000	9.674000	9.674000	9.674000	772433	494861765	621476	494240289	48502753235	176.972687	281472829257354.718750	
1784	1784	1784	1	10.192000	10.192000	10.192000	10.192000	10.192000	984972	530572642	615466	529957176	51207247926	187.037857	281472829257354.718750	
1816	1816	1816	1	10.773000	10.773000	10.773000	10.773000	10.773000	1298035	568198775	652308	567546467	54029561541	198.329086	281472829257354.718750	
1848	1848	1848	1	11.339000	11.339000	11.339000	11.339000	11.339000	1552291	607156202	686320	606469882	56926824897	209.557037	281472829257354.718750	
1880	1880	1880	1	11.989000	11.989000	11.989000	11.989000	11.989000	1858548	646942005	667646	646274359	59926242716	222.378799	281472829257354.718750	
1912	1912	1912	1	12.579000	12.579000	12.579000	12.579000	12.579000	2253635	689131536	703475	688428061	63047059791	234.016983	281472829257354.718750	
1944	1944	1944	1	13.232000	13.232000	13.232000	13.232000	13.232000	2624422	732283776	707587	731576189	66252126703	246.959412	281472829257354.718750	
1976	1976	1976	1	13.914000	13.914000	13.914000	13.914000	13.914000	3197106	777345395	730333	776615062	69588869119	260.645966	281472829257354.718750	
2008	2008	2008	1	14.594000	14.594000	14.594000	14.594000	14.594000	3870023	823674055	725462	822948593	73013535869	274.434128	281472829257354.718750	
2040	2040	2040	1	15.318000	15.318000	15.318000	15.318000	15.318000	8199389	871810062	745876	871064186	76557531490	288.688980	281472829257354.718750
